zipcode,address
697-370,"	제주 서귀포시 강정동"
697-826,"	제주 서귀포시 강정동 1~199"
697-828,"	제주 서귀포시 강정동 1000~4099"
697-827,"	제주 서귀포시 강정동 200~999"
697-829,"	제주 서귀포시 강정동 4100~6000"
699-940,"	제주 서귀포시 남원읍"
699-941,"	제주 서귀포시 남원읍 남원리"
699-949,"	제주 서귀포시 남원읍 수망리"
699-943,"	제주 서귀포시 남원읍 신례리"
699-947,"	제주 서귀포시 남원읍 신흥리"
699-944,"	제주 서귀포시 남원읍 위미리"
699-942,"	제주 서귀포시 남원읍 의귀리"
699-945,"	제주 서귀포시 남원읍 태흥리"
699-946,"	제주 서귀포시 남원읍 하례리"
699-948,"	제주 서귀포시 남원읍 한남리"
699-930,"	제주 서귀포시 대정읍"
699-936,"	제주 서귀포시 대정읍 가파리 1~579"
699-937,"	제주 서귀포시 대정읍 가파리 580~1000"
699-931,"	제주 서귀포시 대정읍 구억리"
699-932,"	제주 서귀포시 대정읍 동일리"
699-933,"	제주 서귀포시 대정읍 무릉리"
699-934,"	제주 서귀포시 대정읍 상모리"
699-935,"	제주 서귀포시 대정읍 하모리"
699-702,"	제주 서귀포시 대정읍 하모리 대정휴먼시아아파트 101-108"
697-320,"	제주 서귀포시 대포동"
697-830,"	제주 서귀포시 대포동 101~532"
697-831,"	제주 서귀포시 대포동 533~2500"
697-825,"	제주 서귀포시 대포동 산1~100"
697-350,"	제주 서귀포시 도순동"
697-832,"	제주 서귀포시 도순동 1~899"
697-833,"	제주 서귀포시 도순동 900~1400"
697-070,"	제주 서귀포시 동홍동"
697-834,"	제주 서귀포시 동홍동 1~118"
697-835,"	제주 서귀포시 동홍동 119~434"
697-838,"	제주 서귀포시 동홍동 1256~1311"
697-864,"	제주 서귀포시 동홍동 1460~1540"
697-839,"	제주 서귀포시 동홍동 1541~3000"
697-836,"	제주 서귀포시 동홍동 435~499"
697-837,"	제주 서귀포시 동홍동 500~1255"
697-706,"	제주 서귀포시 동홍동 동홍6주공아파트 601-614"
697-700,"	제주 서귀포시 동홍동 주공5단지아파트"
697-704,"	제주 서귀포시 동홍동 주공아파트1차 101-206"
697-705,"	제주 서귀포시 동홍동 주공아파트3차 301-409"
697-110,"	제주 서귀포시 법환동"
697-805,"	제주 서귀포시 법환동 1~699"
697-806,"	제주 서귀포시 법환동 700~799"
697-020,"	제주 서귀포시 보목동"
697-301,"	제주 서귀포시 상예동"
697-050,"	제주 서귀포시 상효동"
697-821,"	제주 서귀포시 상효동 산1~100"
697-130,"	제주 서귀포시 색달동"
697-807,"	제주 서귀포시 색달동 1~2560"
697-808,"	제주 서귀포시 색달동 2561~3040"
697-820,"	제주 서귀포시 색달동 산1~100"
697-010,"	제주 서귀포시 서귀동"
697-840,"	제주 서귀포시 서귀동 1~80"
697-842,"	제주 서귀포시 서귀동 250~256"
697-843,"	제주 서귀포시 서귀동 257~272"
697-844,"	제주 서귀포시 서귀동 294~332"
697-841,"	제주 서귀포시 서귀동 81~249"
697-600,"	제주 서귀포시 서귀포우체국사서함"
697-100,"	제주 서귀포시 서호동"
697-845,"	제주 서귀포시 서호동 1~1249"
697-846,"	제주 서귀포시 서호동 1250~1441"
697-847,"	제주 서귀포시 서호동 1442~1500"
697-080,"	제주 서귀포시 서홍동"
697-848,"	제주 서귀포시 서홍동 1~252"
697-853,"	제주 서귀포시 서홍동 1183~1599"
697-854,"	제주 서귀포시 서홍동 1600~3000"
697-849,"	제주 서귀포시 서홍동 253~299"
697-850,"	제주 서귀포시 서홍동 300~330"
697-851,"	제주 서귀포시 서홍동 331~476"
697-852,"	제주 서귀포시 서홍동 477~1182"
697-701,"	제주 서귀포시 서홍동 서귀포시청"
699-900,"	제주 서귀포시 성산읍"
699-901,"	제주 서귀포시 성산읍 고성리"
699-908,"	제주 서귀포시 성산읍 난산리"
699-905,"	제주 서귀포시 성산읍 삼달리"
699-903,"	제주 서귀포시 성산읍 성산리"
699-902,"	제주 서귀포시 성산읍 수산리"
699-907,"	제주 서귀포시 성산읍 신산리"
699-904,"	제주 서귀포시 성산읍 신천리"
699-906,"	제주 서귀포시 성산읍 오조리"
697-013,"	제주 서귀포시 송산동"
697-040,"	제주 서귀포시 신효동"
697-855,"	제주 서귀포시 신효동 1~184"
697-856,"	제주 서귀포시 신효동 185~230"
699-920,"	제주 서귀포시 안덕면"
699-921,"	제주 서귀포시 안덕면 감산리"
699-925,"	제주 서귀포시 안덕면 광평리"
699-701,"	제주 서귀포시 안덕면 광평리 나인브릿지"
699-922,"	제주 서귀포시 안덕면 덕수리"
699-926,"	제주 서귀포시 안덕면 상천리"
699-923,"	제주 서귀포시 안덕면 서광리 1~999"
699-924,"	제주 서귀포시 안덕면 서광리 1000~3000"
697-380,"	제주 서귀포시 영남동"
697-390,"	제주 서귀포시 용흥동"
697-360,"	제주 서귀포시 월평동"
697-014,"	제주 서귀포시 정방동"
697-120,"	제주 서귀포시 중문동"
697-857,"	제주 서귀포시 중문동 101~1788"
697-858,"	제주 서귀포시 중문동 2100~2799"
697-819,"	제주 서귀포시 중문동 산1~100"
697-707,"	제주 서귀포시 중문동 중문푸른마을주공아파트 101-115"
697-011,"	제주 서귀포시 중앙동"
697-012,"	제주 서귀포시 천지동"
697-060,"	제주 서귀포시 토평동"
697-859,"	제주 서귀포시 토평동 1~1800"
697-861,"	제주 서귀포시 토평동 3264~3266"
697-860,"	제주 서귀포시 토평동 3267~3300"
697-822,"	제주 서귀포시 토평동 산1~100"
699-910,"	제주 서귀포시 표선면"
699-911,"	제주 서귀포시 표선면 가시리"
699-912,"	제주 서귀포시 표선면 성읍리"
699-913,"	제주 서귀포시 표선면 세화리"
