index,Send,Rec,item,counts,Send_grid,Rec_grid
0,5011000595017300,2871000192069300,음반,3,50110,28710
1,4148000690043300,5011000264024400,문화컨텐츠,3,41480,50110
2,5011000078068400,1120000007005400,농산물,3,50110,11200
3,4127100048006400,5011000587019400,기타식품,7,41271,50110
4,5011000078068400,2823700010076300,농산물,3,50110,28237
5,5013000778073200,4159000114016400,농산물,6,50130,41590
6,5011000316024300,4827000369060200,수산,5,50110,48270
7,5013000740006400,4111700017039400,농산물,3,50130,41117
8,4136000209094100,5013000823053400,아우터,3,41360,50130
9,5011000315056100,4127100026035200,농산물,8,50110,41271
10,5011000525070400,4119900016030200,농산물,3,50110,41199
11,5013000731055200,4111300020084100,농산물,3,50130,41113
12,4146300018047300,5011000263069100,신발,3,41463,50110
13,5013000823047200,1156000002086300,농산물,5,50130,11560
14,5011000078068400,4717000827022100,농산물,3,50110,47170
15,5011000137030100,2915500021039400,농산물,4,50110,29155
16,4725000538021400,5011000596012200,기타식품,4,47250,50110
17,4150000241045200,5013000127047200,건강식품,3,41500,50130
18,5013000828084200,2818500009055200,농산물,4,50130,28185
19,5011000595017300,2729000009018200,음반,3,50110,27290
20,5013000354052200,4711300748081300,농산물,5,50130,47113
21,5013000691060200,3020000163089400,농산물,5,50130,30200
22,5011000324090300,4423000431057300,음료,3,50110,44230
23,5013000572007300,1117000003088100,농산물,3,50130,11170
24,5011000373048400,2818500026040300,음료,3,50110,28185
25,5011000078068400,4139000018006100,농산물,3,50110,41390
26,5013000731055200,4817000323084100,농산물,3,50130,48170
27,5013000610049100,1111000026029200,농산물,3,50130,11110
28,5011000535028300,2914000006020300,농산물,5,50110,29140
29,5011000437099200,1129000021088200,농산물,5,50110,11290
30,5011000078068400,4115000039042300,농산물,3,50110,41150
31,5013000622057100,4223000021033400,농산물,3,50130,42230
32,5013000821028200,4874000124048200,농산물,3,50130,48740
33,5013000170064100,1126000003028400,가공식품,10,50130,11260
34,5013000354052200,1162000002022400,농산물,7,50130,11620
35,5011000078068400,4127100055011300,농산물,4,50110,41271
36,5013000740006400,1147000004017400,농산물,3,50130,11470
37,5011000213090100,3611000092003200,농산물,3,50110,36110
38,4682000971004300,5011000533051300,스킨케어,3,46820,50110
39,5011000078068400,4128700035009100,농산물,3,50110,41287
40,5011000313069200,4371000372100400,축산,9,50110,43710
41,5011000199044400,4213000256060100,농산물,3,50110,42130
42,5013000785045400,4213000279091100,농산물,3,50130,42130
43,5013000610049100,4113500010006300,농산물,3,50130,41135
44,5011000685067100,1150000030066300,농산물,3,50110,11500
45,5013000731055200,3014000012022100,농산물,3,50130,30140
46,4128500008095200,5011000263070200,가공식품,4,41285,50110
47,5013000622057100,2635000059017200,농산물,3,50130,26350
48,5011000078068400,4812100196083300,농산물,4,50110,48121
49,5013000610049100,1150000016085200,농산물,3,50130,11500
50,5011000228004400,4159000599080400,건강식품,3,50110,41590
51,2614000009036100,5011000431021100,농산물,3,26140,50110
52,3023000012008100,5011000169084300,건강식품,3,30230,50110
53,5011000078068400,4111100020085400,농산물,5,50110,41111
54,5011001027036200,4521000303066100,농산물,7,50110,45210
55,5011001086004300,4139000118082300,농산물,3,50110,41390
56,5011000422097100,4822000241031400,농산물,4,50110,48220
57,4159000685057100,5011000215099200,헤어케어,4,41590,50110
58,4682000830009400,5013000862058100,농산물,3,46820,50130
59,2826000085023400,5011000317002400,건강식품,3,28260,50110
60,5011000316024300,4514000396098400,수산,5,50110,45140
61,5013000610049100,2820000035083300,농산물,3,50130,28200
62,5011000078068400,2823700010077300,농산물,6,50110,28237
63,5011000078068400,4221000014058400,농산물,3,50110,42210
64,4146300005091100,5011000320036300,기저귀/물티슈,3,41463,50110
65,4371000161085100,5011000373016400,의료용품,77,43710,50110
66,5013000273039200,4681000232002300,농산물,3,50130,46810
67,3011000053088100,5011000314088200,기타디지털/가전,9,30110,50110
68,5011000433043400,4127300065073100,상의,5,50110,41273
69,4141000031030100,5011000370022100,건강용품,11,41410,50110
70,5013000610049100,4136000282045400,농산물,5,50130,41360
71,5011000437099200,4311300074017300,농산물,3,50110,43113
72,4137000019060200,5011000173040100,바디케어,6,41370,50110
73,5011000078068400,2917000094062400,농산물,3,50110,29170
74,4377000254047200,5013000396069300,기타스포츠/레저,5,43770,50130
75,5011000169080300,2635000046018100,음료,7,50110,26350
76,5011000078068400,2729000019047100,농산물,6,50110,27290
77,5011000078068400,4511100059042100,농산물,3,50110,45111
78,4146100403068100,5011000219010300,상의,3,41461,50110
79,5013000777063100,4145000006041300,농산물,3,50130,41450
80,5013000571005200,1135000016094200,농산물,3,50130,11350
81,5013000616057100,2771000078032200,농산물,3,50130,27710
82,4148000427007400,5011000429017300,출산/유아동의류,4,41480,50110
83,5011000168079400,4613000265096400,수산,3,50110,46130
84,5013000785045400,4183000779095200,농산물,6,50130,41830
85,5013000610049100,2811000052092400,농산물,10,50130,28110
86,5011000436041400,1168000025047300,농산물,3,50110,11680
87,5013000610049100,2626000004098300,농산물,3,50130,26260
88,5013000863096300,4311100012003100,농산물,3,50130,43111
89,5011000326012100,4128500032092300,농산물,3,50110,41285
90,5013000616057100,4281001185013300,농산물,3,50130,42810
91,5013000617099100,2820000042077200,농산물,3,50130,28200
92,5013000821028200,1168000013007400,농산물,5,50130,11680
93,4141000031030100,5011000594035200,스킨케어,3,41410,50110
94,5011000767075300,1154500001048400,축산,8,50110,11545
95,5013000817046300,1126000015056200,농산물,3,50130,11260
96,5011000078068400,4119700009053300,농산물,3,50110,41197
97,5011000262035400,4139000087004100,기타식품,3,50110,41390
98,5011000078068400,4146300029038400,농산물,4,50110,41463
99,1150000030012200,5013000785043300,농산물,7,11500,50130
100,4136000216029100,5011000219002100,반려동물,3,41360,50110
101,5011000767094200,2644000133096300,완구/매트,3,50110,26440
102,5011000228054400,2818500008020100,과자,4,50110,28185
103,4148000690015300,5011000314090100,문화컨텐츠,4,41480,50110
104,5011000437099200,2824500028097300,농산물,4,50110,28245
105,4136000216029100,5011000264080400,생활용품,4,41360,50110
106,5011000685067100,1135000017062100,농산물,4,50110,11350
107,4146100378048400,5011000319062400,아우터,3,41461,50110
108,5013000610049100,1129000005025200,농산물,3,50130,11290
109,4148000690015300,5011000373038200,문화컨텐츠,5,41480,50110
110,5013000777063100,1130500013014200,농산물,3,50130,11305
111,5011000228093100,1114000001017400,농산물,3,50110,11140
112,5011000078068400,2635000039061400,농산물,3,50110,26350
113,5011001108080200,2723000090044300,과자,3,50110,27230
114,5011000078068400,4684000253008100,농산물,3,50110,46840
115,5013000824069200,4159000606053100,농산물,3,50130,41590
116,4157000306018300,5011000721056300,기저귀/물티슈,3,41570,50110
117,4141000031030100,5011000316031300,하의,3,41410,50110
118,1120000016014200,5013000862020200,신발,3,11200,50130
119,5011000213090100,4311100053096300,농산물,6,50110,43111
120,5011000078068400,4117300013080100,농산물,3,50110,41173
121,5011000437099200,1171000017011300,농산물,3,50110,11710
122,5011000272063400,2917000060077400,음료,3,50110,29170
123,5011001095042400,4219000121086300,기타식품,4,50110,42190
124,4137000004003200,5013000894007200,문구/사무용품,3,41370,50130
125,5011000137030100,4427000312002200,농산물,3,50110,44270
126,4471000114055400,5011000259007300,헤어케어,27,44710,50110
127,4113500034035400,5011000314069300,선케어,37,41135,50110
128,4159000429094300,5011000266081300,생활용품,3,41590,50110
129,5013000809098300,4111300011021400,농산물,10,50130,41113
130,5011001034043300,4812500013091300,농산물,3,50110,48125
131,4141000031030100,5011000314070200,다이어트식품,4,41410,50110
132,4122000363057300,5011000377088400,건강식품,16,41220,50110
133,5013000839009300,4159000342006400,농산물,3,50130,41590
134,5011000543041100,4139000088062400,기타패션의류,3,50110,41390
135,5013000610049100,4721000408083100,농산물,4,50130,47210
136,5011000078068400,4615000599014400,농산물,3,50110,46150
137,5011000178007200,4146300039078200,농산물,3,50110,41463
138,5013000777063100,1168000008034200,농산물,5,50130,11680
139,5013000205030200,2823700015068100,농산물,3,50130,28237
140,5011001060063300,4127300027095200,농산물,5,50110,41273
141,5013000610049100,4121000009032400,농산물,3,50130,41210
142,4141000031009400,5011000174063300,가공식품,4,41410,50110
143,4514000193039100,5013000674093300,농산물,3,45140,50130
144,5011000316024300,4514000400097200,수산,3,50110,45140
145,5013000821028200,1171000014091400,농산물,3,50130,11710
146,4141000031009400,5013000866045300,가공식품,3,41410,50130
147,5013000854017300,1147000011041300,농산물,5,50130,11470
148,5011000078068400,4812100207003400,농산물,3,50110,48121
149,5013000734079400,3114000017054100,축산,5,50130,31140
150,5011000078068400,2614000004077200,농산물,4,50110,26140
151,4163000083095400,5011000218061100,기타식품,4,41630,50110
152,1117000009037100,5011000264100200,기타디지털/가전,3,11170,50110
153,4157000306018300,5011000367022200,생활용품,3,41570,50110
154,5011000595017300,4812500020057400,음반,3,50110,48125
155,5013000723077100,4122000298080300,농산물,5,50130,41220
156,4141000031030100,5011000266047300,바디케어,3,41410,50110
157,5011000078068400,2920000092029100,농산물,5,50110,29200
158,4122000363057300,5013000782056100,반려동물,3,41220,50130
159,5011000582021400,4831000231092200,축산,5,50110,48310
160,5011000078068400,4831000254017200,농산물,3,50110,48310
161,5011000137023400,4115000044082300,가공식품,5,50110,41150
162,5013000610049100,4157000210048200,농산물,3,50130,41570
163,5011000078068400,2814000003099200,농산물,3,50110,28140
164,5013000832003400,1156000018096200,농산물,3,50130,11560
165,5011000968068300,2723000037021300,농산물,7,50110,27230
166,5011000214049400,4418000265069400,농산물,8,50110,44180
167,2620000005018100,5013000770034100,냉동/간편조리식품,3,26200,50130
168,5011000266051200,4148000585028400,농산물,4,50110,41480
169,5013000581065400,2771000336043400,농산물,3,50130,27710
170,5011000316024300,4313000639029100,수산,11,50110,43130
171,5013000740006400,2826000067090400,농산물,4,50130,28260
172,5011000078068400,3020000163096200,농산물,6,50110,30200
173,4146100002027300,5011000320081200,네일케어,3,41461,50110
174,5011000078068400,1150000038064100,농산물,4,50110,11500
175,5013000731055200,1129000009088400,농산물,3,50130,11290
176,5013000731055200,4163000105092300,농산물,4,50130,41630
177,5011000078068400,4159000342015400,농산물,3,50110,41590
178,4127300065073100,5011000373065300,건강용품,4,41273,50110
179,5011000078068400,2817000021016300,농산물,4,50110,28170
180,5013000610049100,4119500001075200,농산물,3,50130,41195
181,4375000215040400,5011000373027300,냉동/간편조리식품,3,43750,50110
182,4159000429094300,5011000092011400,가공식품,4,41590,50110
183,5011001007011200,3017000027099100,농산물,24,50110,30170
184,5011000314031200,2826000142055100,냉동/간편조리식품,3,50110,28260
185,5011000078068400,1171000002012100,농산물,3,50110,11710
186,5011000595017300,1168000013070100,음반,4,50110,11680
187,5011000078068400,4113100020098300,농산물,6,50110,41131
188,5011000326012100,4783000287028300,농산물,3,50110,47830
189,2714000172001200,5011000214079400,서재/사무용가구,3,27140,50110
190,3020000113067200,5013000809096300,과자,10,30200,50130
191,4148000690015300,5011000319033200,문화컨텐츠,31,41480,50110
192,5013000513092400,4278000581055100,농산물,4,50130,42780
193,5013000610049100,4141000003014200,농산물,3,50130,41410
194,5011000137030100,4113100025018200,농산물,3,50110,41131
195,4141000031030100,5011000314070200,반려동물,3,41410,50110
196,5013000691060200,2914000020019300,농산물,3,50130,29140
197,5011000078068400,1121500011072400,농산물,5,50110,11215
198,5013000692034400,1168000013095400,농산물,3,50130,11680
199,5013000610049100,4511300074034300,농산물,6,50130,45113
200,1165000006069300,5013000467039100,문구/사무용품,4,11650,50130
201,5011000078068400,1153000006025100,농산물,5,50110,11530
202,4161000144040200,5011000313030100,건강식품,8,41610,50110
203,3171000791037400,5011000035010300,기타식품,9,31710,50110
204,4148000699072200,5013000635005300,음반,30,41480,50130
205,5013000821028200,1147000011009400,농산물,4,50130,11470
206,5013000624091200,3011000084075100,농산물,3,50130,30110
207,5013000821028200,4122000314092300,농산물,3,50130,41220
208,2650000007007100,5011000112053100,기타식품,3,26500,50110
209,5011000314059300,3611000373004300,음료,4,50110,36110
210,1168000007002200,5011000373011400,선글라스/안경테,3,11680,50110
211,5013000618013100,4111700020045400,과자,5,50130,41117
212,2647000008065400,5013000732081200,기타식품,5,26470,50130
213,1168000015064300,5011000266003200,기타화장품/미용,3,11680,50110
214,1129000022055300,5013000635072300,하의,3,11290,50130
215,5011000420060100,4159000303004200,농산물,3,50110,41590
216,5013000858034200,2818500027005400,농산물,4,50130,28185
217,4377000369095300,5011000373064400,아우터,3,43770,50110
218,5013000608075200,4127300008093100,농산물,3,50130,41273
219,5011000137030100,4146300010023200,농산물,3,50110,41463
220,4311100052060100,5011000319051100,등산,3,43111,50110
221,1117000009079100,5011000315076100,모니터,5,11170,50110
222,5011000685067100,2635000059017200,농산물,6,50110,26350
223,5011000078068400,2729000021081400,농산물,4,50110,27290
224,4145000082015200,5011000423093100,수산,4,41450,50110
225,5011000377088400,2920000165057200,축산,3,50110,29200
226,5013000731055200,2826000031056200,농산물,3,50130,28260
227,4157000306018300,5011000672072300,주방용품,3,41570,50110
228,5013000610049100,1123000006078100,농산물,3,50130,11230
229,5013000777063100,4514000358080400,농산물,6,50130,45140
230,5013000733025400,4822000217100300,농산물,6,50130,48220
231,5013000617099100,2824500032056200,농산물,3,50130,28245
232,5011000078068400,4150000154041100,농산물,3,50110,41500
233,4150000241045200,5011000314075300,건강식품,18,41500,50110
234,5013000610049100,4139000018034400,농산물,3,50130,41390
235,5011000685067100,2824500006026300,농산물,4,50110,28245
236,5013000731055200,4671000224039400,농산물,3,50130,46710
237,4511300030055300,5013000014003100,냉동/간편조리식품,3,45113,50130
238,5013000731055200,4139000110020100,농산물,4,50130,41390
239,4146100146003300,5011000319022200,문구/사무용품,6,41461,50110
