,index,item,counts,Rec_grid,시군구명,longitude,lat
0,28486,기타식품,7,11110,종로구,126.9816417,37.57037778
1,18148,농산물,8,11110,종로구,126.9816417,37.57037778
2,21815,농산물,3,11110,종로구,126.9816417,37.57037778
3,2098,농산물,7,11110,종로구,126.9816417,37.57037778
4,18907,수산,3,11110,종로구,126.9816417,37.57037778
5,21799,농산물,6,11110,종로구,126.9816417,37.57037778
6,21786,농산물,3,11110,종로구,126.9816417,37.57037778
7,691,농산물,3,11110,종로구,126.9816417,37.57037778
8,29750,과자,18,11110,종로구,126.9816417,37.57037778
9,15025,농산물,3,11110,종로구,126.9816417,37.57037778
10,13370,농산물,3,11110,종로구,126.9816417,37.57037778
11,11217,농산물,3,11110,종로구,126.9816417,37.57037778
12,18936,농산물,3,11110,종로구,126.9816417,37.57037778
13,15019,음료,3,11110,종로구,126.9816417,37.57037778
14,29778,농산물,3,11110,종로구,126.9816417,37.57037778
15,28510,음료,4,11110,종로구,126.9816417,37.57037778
16,13349,기타패션의류,4,11110,종로구,126.9816417,37.57037778
17,6579,기타패션잡화,3,11110,종로구,126.9816417,37.57037778
18,20599,농산물,4,11110,종로구,126.9816417,37.57037778
19,9598,농산물,3,11110,종로구,126.9816417,37.57037778
20,27911,농산물,5,11110,종로구,126.9816417,37.57037778
21,6519,농산물,3,11110,종로구,126.9816417,37.57037778
22,2215,농산물,3,11110,종로구,126.9816417,37.57037778
23,31570,농산물,4,11110,종로구,126.9816417,37.57037778
24,14981,농산물,10,11110,종로구,126.9816417,37.57037778
25,17872,음반,4,11110,종로구,126.9816417,37.57037778
26,11299,농산물,5,11110,종로구,126.9816417,37.57037778
27,30370,수산,5,11110,종로구,126.9816417,37.57037778
28,22627,음반,3,11110,종로구,126.9816417,37.57037778
29,19289,음료,5,11110,종로구,126.9816417,37.57037778
30,29211,농산물,3,11110,종로구,126.9816417,37.57037778
31,7525,농산물,3,11110,종로구,126.9816417,37.57037778
32,15948,농산물,5,11110,종로구,126.9816417,37.57037778
33,30460,음반,3,11110,종로구,126.9816417,37.57037778
34,14270,농산물,5,11110,종로구,126.9816417,37.57037778
35,19192,농산물,3,11110,종로구,126.9816417,37.57037778
36,4289,음료,20,11110,종로구,126.9816417,37.57037778
37,13722,농산물,4,11110,종로구,126.9816417,37.57037778
38,1822,농산물,4,11110,종로구,126.9816417,37.57037778
39,17651,침구세트,3,11110,종로구,126.9816417,37.57037778
40,7282,농산물,5,11110,종로구,126.9816417,37.57037778
41,4330,농산물,3,11110,종로구,126.9816417,37.57037778
42,8940,농산물,3,11110,종로구,126.9816417,37.57037778
43,23534,농산물,4,11110,종로구,126.9816417,37.57037778
44,8950,농산물,3,11110,종로구,126.9816417,37.57037778
45,26283,농산물,3,11110,종로구,126.9816417,37.57037778
46,11421,농산물,3,11110,종로구,126.9816417,37.57037778
47,7165,농산물,4,11110,종로구,126.9816417,37.57037778
48,9022,농산물,4,11110,종로구,126.9816417,37.57037778
49,27417,농산물,3,11110,종로구,126.9816417,37.57037778
50,1974,농산물,11,11110,종로구,126.9816417,37.57037778
51,31397,농산물,3,11110,종로구,126.9816417,37.57037778
52,11375,농산물,3,11110,종로구,126.9816417,37.57037778
53,9152,가공식품,3,11110,종로구,126.9816417,37.57037778
54,6379,농산물,3,11110,종로구,126.9816417,37.57037778
55,4816,농산물,3,11110,종로구,126.9816417,37.57037778
56,9769,농산물,3,11110,종로구,126.9816417,37.57037778
57,27932,음반,4,11110,종로구,126.9816417,37.57037778
58,27289,음반,3,11110,종로구,126.9816417,37.57037778
59,10179,농산물,4,11110,종로구,126.9816417,37.57037778
60,25151,농산물,4,11110,종로구,126.9816417,37.57037778
61,5873,건강식품,3,11110,종로구,126.9816417,37.57037778
62,21055,농산물,3,11110,종로구,126.9816417,37.57037778
63,2686,농산물,5,11110,종로구,126.9816417,37.57037778
64,26914,기타식품,6,11110,종로구,126.9816417,37.57037778
65,10835,농산물,5,11110,종로구,126.9816417,37.57037778
66,18084,농산물,3,11110,종로구,126.9816417,37.57037778
67,3034,농산물,3,11110,종로구,126.9816417,37.57037778
68,10802,농산물,3,11110,종로구,126.9816417,37.57037778
69,27213,농산물,11,11110,종로구,126.9816417,37.57037778
70,18333,농산물,5,11110,종로구,126.9816417,37.57037778
71,514,농산물,3,11110,종로구,126.9816417,37.57037778
72,22931,음반,3,11110,종로구,126.9816417,37.57037778
73,2833,농산물,3,11110,종로구,126.9816417,37.57037778
74,26512,농산물,3,11110,종로구,126.9816417,37.57037778
75,10488,농산물,3,11110,종로구,126.9816417,37.57037778
76,10506,농산물,3,11110,종로구,126.9816417,37.57037778
77,2889,농산물,6,11110,종로구,126.9816417,37.57037778
78,26865,농산물,3,11110,종로구,126.9816417,37.57037778
79,21322,농산물,4,11110,종로구,126.9816417,37.57037778
80,10524,수산,4,11110,종로구,126.9816417,37.57037778
81,22848,농산물,3,11110,종로구,126.9816417,37.57037778
82,12700,농산물,9,11110,종로구,126.9816417,37.57037778
83,18416,농산물,3,11110,종로구,126.9816417,37.57037778
84,7551,농산물,5,11110,종로구,126.9816417,37.57037778
85,14518,가공식품,8,11110,종로구,126.9816417,37.57037778
86,13026,농산물,3,11110,종로구,126.9816417,37.57037778
87,387,농산물,6,11110,종로구,126.9816417,37.57037778
88,2309,농산물,3,11110,종로구,126.9816417,37.57037778
89,6291,농산물,40,11110,종로구,126.9816417,37.57037778
90,9823,농산물,23,11110,종로구,126.9816417,37.57037778
91,18587,농산물,4,11110,종로구,126.9816417,37.57037778
92,18578,농산물,10,11110,종로구,126.9816417,37.57037778
93,11056,농산물,9,11110,종로구,126.9816417,37.57037778
94,4900,농산물,5,11110,종로구,126.9816417,37.57037778
95,6214,농산물,4,11110,종로구,126.9816417,37.57037778
96,2392,농산물,5,11110,종로구,126.9816417,37.57037778
97,25773,농산물,4,11110,종로구,126.9816417,37.57037778
98,16622,농산물,3,11110,종로구,126.9816417,37.57037778
99,4966,농산물,4,11110,종로구,126.9816417,37.57037778
100,18525,기타패션의류,10,11110,종로구,126.9816417,37.57037778
101,5060,농산물,4,11110,종로구,126.9816417,37.57037778
102,20932,수산,3,11110,종로구,126.9816417,37.57037778
103,10884,농산물,3,11110,종로구,126.9816417,37.57037778
104,1084,농산물,3,11110,종로구,126.9816417,37.57037778
105,24263,농산물,5,11110,종로구,126.9816417,37.57037778
106,16700,수산,9,11110,종로구,126.9816417,37.57037778
107,16708,농산물,4,11110,종로구,126.9816417,37.57037778
108,25754,농산물,3,11110,종로구,126.9816417,37.57037778
109,30803,농산물,3,11110,종로구,126.9816417,37.57037778
110,13034,농산물,4,11110,종로구,126.9816417,37.57037778
111,25742,농산물,3,11110,종로구,126.9816417,37.57037778
112,28808,농산물,3,11110,종로구,126.9816417,37.57037778
113,8669,농산물,3,11110,종로구,126.9816417,37.57037778
114,28109,농산물,7,11110,종로구,126.9816417,37.57037778
115,7840,농산물,6,11110,종로구,126.9816417,37.57037778
116,14229,음반,3,11110,종로구,126.9816417,37.57037778
117,26765,농산물,3,11110,종로구,126.9816417,37.57037778
118,13899,농산물,3,11110,종로구,126.9816417,37.57037778
119,22185,농산물,11,11110,종로구,126.9816417,37.57037778
120,8093,농산물,5,11110,종로구,126.9816417,37.57037778
121,1270,농산물,16,11110,종로구,126.9816417,37.57037778
122,3948,수산,3,11110,종로구,126.9816417,37.57037778
123,30593,농산물,4,11110,종로구,126.9816417,37.57037778
124,24111,농산물,3,11110,종로구,126.9816417,37.57037778
125,14097,농산물,3,11110,종로구,126.9816417,37.57037778
126,3876,농산물,3,11110,종로구,126.9816417,37.57037778
127,8567,농산물,3,11110,종로구,126.9816417,37.57037778
128,19499,농산물,3,11110,종로구,126.9816417,37.57037778
129,26103,농산물,3,11110,종로구,126.9816417,37.57037778
130,29318,농산물,3,11110,종로구,126.9816417,37.57037778
131,19929,농산물,4,11110,종로구,126.9816417,37.57037778
132,7694,농산물,3,11110,종로구,126.9816417,37.57037778
133,27,농산물,3,11110,종로구,126.9816417,37.57037778
134,8263,농산물,4,11110,종로구,126.9816417,37.57037778
135,14598,농산물,3,11110,종로구,126.9816417,37.57037778
136,11921,농산물,3,11110,종로구,126.9816417,37.57037778
137,23782,농산물,14,11110,종로구,126.9816417,37.57037778
138,27648,농산물,11,11110,종로구,126.9816417,37.57037778
139,8522,농산물,4,11110,종로구,126.9816417,37.57037778
140,29259,음료,5,11110,종로구,126.9816417,37.57037778
141,14665,농산물,3,11110,종로구,126.9816417,37.57037778
142,8145,음료,6,11110,종로구,126.9816417,37.57037778
143,809,농산물,3,11110,종로구,126.9816417,37.57037778
144,7847,농산물,17,11110,종로구,126.9816417,37.57037778
145,19336,음반,3,11110,종로구,126.9816417,37.57037778
146,16006,농산물,3,11110,종로구,126.9816417,37.57037778
147,20407,농산물,3,11140,중구,128.6061745,35.86952722
148,20407,농산물,3,11140,중구,127.421381,36.32582989
149,20407,농산물,3,11140,중구,129.0345083,35.10321667
150,20407,농산물,3,11140,중구,126.9996417,37.56100278
151,20407,농산물,3,11140,중구,129.3328162,35.56971228
152,20407,농산물,3,11140,중구,126.6217617,37.47384843
153,30340,농산물,3,11140,중구,128.6061745,35.86952722
154,30340,농산물,3,11140,중구,127.421381,36.32582989
155,30340,농산물,3,11140,중구,129.0345083,35.10321667
156,30340,농산물,3,11140,중구,126.9996417,37.56100278
157,30340,농산물,3,11140,중구,129.3328162,35.56971228
158,30340,농산물,3,11140,중구,126.6217617,37.47384843
159,10952,기타패션의류,20,11140,중구,128.6061745,35.86952722
160,10952,기타패션의류,20,11140,중구,127.421381,36.32582989
161,10952,기타패션의류,20,11140,중구,129.0345083,35.10321667
162,10952,기타패션의류,20,11140,중구,126.9996417,37.56100278
163,10952,기타패션의류,20,11140,중구,129.3328162,35.56971228
164,10952,기타패션의류,20,11140,중구,126.6217617,37.47384843
165,7156,수산,3,11140,중구,128.6061745,35.86952722
166,7156,수산,3,11140,중구,127.421381,36.32582989
167,7156,수산,3,11140,중구,129.0345083,35.10321667
168,7156,수산,3,11140,중구,126.9996417,37.56100278
169,7156,수산,3,11140,중구,129.3328162,35.56971228
170,7156,수산,3,11140,중구,126.6217617,37.47384843
171,2187,농산물,7,11140,중구,128.6061745,35.86952722
172,2187,농산물,7,11140,중구,127.421381,36.32582989
173,2187,농산물,7,11140,중구,129.0345083,35.10321667
174,2187,농산물,7,11140,중구,126.9996417,37.56100278
175,2187,농산물,7,11140,중구,129.3328162,35.56971228
176,2187,농산물,7,11140,중구,126.6217617,37.47384843
177,13383,농산물,5,11140,중구,128.6061745,35.86952722
178,13383,농산물,5,11140,중구,127.421381,36.32582989
179,13383,농산물,5,11140,중구,129.0345083,35.10321667
180,13383,농산물,5,11140,중구,126.9996417,37.56100278
181,13383,농산물,5,11140,중구,129.3328162,35.56971228
