,index,item,counts,Rec_grid,시군구명
0,28486,기타식품,7,11110,종로구
1,18148,농산물,8,11110,종로구
2,21815,농산물,3,11110,종로구
3,2098,농산물,7,11110,종로구
4,18907,수산,3,11110,종로구
5,21799,농산물,6,11110,종로구
6,21786,농산물,3,11110,종로구
7,691,농산물,3,11110,종로구
8,29750,과자,18,11110,종로구
9,15025,농산물,3,11110,종로구
10,13370,농산물,3,11110,종로구
11,11217,농산물,3,11110,종로구
12,18936,농산물,3,11110,종로구
13,15019,음료,3,11110,종로구
14,29778,농산물,3,11110,종로구
15,28510,음료,4,11110,종로구
16,13349,기타패션의류,4,11110,종로구
17,6579,기타패션잡화,3,11110,종로구
18,20599,농산물,4,11110,종로구
19,9598,농산물,3,11110,종로구
20,27911,농산물,5,11110,종로구
21,6519,농산물,3,11110,종로구
22,2215,농산물,3,11110,종로구
23,31570,농산물,4,11110,종로구
24,14981,농산물,10,11110,종로구
25,17872,음반,4,11110,종로구
26,11299,농산물,5,11110,종로구
27,30370,수산,5,11110,종로구
28,22627,음반,3,11110,종로구
29,19289,음료,5,11110,종로구
30,29211,농산물,3,11110,종로구
31,7525,농산물,3,11110,종로구
32,15948,농산물,5,11110,종로구
33,30460,음반,3,11110,종로구
34,14270,농산물,5,11110,종로구
35,19192,농산물,3,11110,종로구
36,4289,음료,20,11110,종로구
37,13722,농산물,4,11110,종로구
38,1822,농산물,4,11110,종로구
39,17651,침구세트,3,11110,종로구
40,7282,농산물,5,11110,종로구
41,4330,농산물,3,11110,종로구
42,8940,농산물,3,11110,종로구
43,23534,농산물,4,11110,종로구
44,8950,농산물,3,11110,종로구
45,26283,농산물,3,11110,종로구
46,11421,농산물,3,11110,종로구
47,7165,농산물,4,11110,종로구
48,9022,농산물,4,11110,종로구
49,27417,농산물,3,11110,종로구
50,1974,농산물,11,11110,종로구
51,31397,농산물,3,11110,종로구
52,11375,농산물,3,11110,종로구
53,9152,가공식품,3,11110,종로구
54,6379,농산물,3,11110,종로구
55,4816,농산물,3,11110,종로구
56,9769,농산물,3,11110,종로구
57,27932,음반,4,11110,종로구
58,27289,음반,3,11110,종로구
59,10179,농산물,4,11110,종로구
60,25151,농산물,4,11110,종로구
61,5873,건강식품,3,11110,종로구
62,21055,농산물,3,11110,종로구
63,2686,농산물,5,11110,종로구
64,26914,기타식품,6,11110,종로구
65,10835,농산물,5,11110,종로구
66,18084,농산물,3,11110,종로구
67,3034,농산물,3,11110,종로구
68,10802,농산물,3,11110,종로구
69,27213,농산물,11,11110,종로구
70,18333,농산물,5,11110,종로구
71,514,농산물,3,11110,종로구
72,22931,음반,3,11110,종로구
73,2833,농산물,3,11110,종로구
74,26512,농산물,3,11110,종로구
75,10488,농산물,3,11110,종로구
76,10506,농산물,3,11110,종로구
77,2889,농산물,6,11110,종로구
78,26865,농산물,3,11110,종로구
79,21322,농산물,4,11110,종로구
80,10524,수산,4,11110,종로구
81,22848,농산물,3,11110,종로구
82,12700,농산물,9,11110,종로구
