item,counts,Rec1,Rec2,Rec3,Rec4,Rec5,Rec6,Rec7,Rec8,Rec9,Rec10,Rec11,Rec12,Rec13,Rec14,Rec15,Rec16,Send_1~5,Send_6~9,Send_10,Send_11~16
음반,3,2,8,7,1,0,0,0,1,9,2,0,6,9,3,0,0,7,14,5,11
문화컨텐츠,3,5,0,1,1,0,0,0,2,6,4,0,2,4,4,0,0,17,15,0,10
농산물,3,1,1,2,0,0,0,0,0,0,7,0,0,5,4,0,0,7,7,8,18
기타식품,7,5,0,1,1,0,0,0,5,8,7,0,1,9,4,0,0,15,4,8,10
농산물,3,2,8,2,3,7,0,0,0,1,0,0,7,6,3,0,0,7,7,8,18
농산물,6,4,1,5,9,0,0,0,1,1,4,0,1,6,4,0,0,9,14,8,12
수산,5,4,8,2,7,0,0,0,3,6,9,0,6,0,2,0,0,7,4,6,9
농산물,3,4,1,1,1,7,0,0,0,1,7,0,3,9,4,0,0,9,11,0,10
아우터,3,5,0,1,3,0,0,0,8,2,3,0,5,3,4,0,0,14,2,9,14
농산물,8,4,1,2,7,1,0,0,0,2,6,0,3,5,2,0,0,7,4,5,12
농산물,3,4,1,1,9,9,0,0,0,1,6,0,3,0,2,0,0,7,7,5,11
농산물,3,4,1,1,1,3,0,0,0,2,0,0,8,4,1,0,0,9,10,1,12
신발,3,5,0,1,1,0,0,0,2,6,3,0,6,9,1,0,0,18,1,8,14
농산물,5,1,1,5,6,0,0,0,0,0,2,0,8,6,3,0,0,9,10,3,13
농산물,3,4,7,1,7,0,0,0,8,2,7,0,2,2,1,0,0,7,7,8,18
농산물,4,2,9,1,5,5,0,0,0,2,1,0,3,9,4,0,0,7,4,7,4
기타식품,4,5,0,1,1,0,0,0,5,9,6,0,1,2,2,0,0,18,8,8,7
건강식품,3,5,0,1,3,0,0,0,1,2,7,0,4,7,2,0,0,10,6,1,11
농산물,4,2,8,1,8,5,0,0,0,0,9,0,5,5,2,0,0,9,10,8,14
음반,3,2,7,2,9,0,0,0,0,0,9,0,1,8,2,0,0,7,14,5,11
농산물,5,4,7,1,1,3,0,0,7,4,8,0,8,1,3,0,0,9,8,4,9
농산물,5,3,0,2,0,0,0,0,1,6,3,0,8,9,4,0,0,9,15,1,8
음료,3,4,4,2,3,0,0,0,4,3,1,0,5,7,3,0,0,7,5,4,12
